"No.","Time","Source","Destination","Protocol","Length","Info"
"71","3.744018357","10.0.1.1","10.0.2.3","UDP","58","32628  >  23100 Len=16"
"72","3.745372718","10.0.1.6","10.0.2.3","UDP","58","18839  >  6070 Len=16"
"73","3.746340530","10.0.1.2","10.0.2.3","UDP","58","47565  >  23545 Len=16"
"74","3.848003126","10.0.1.5","10.0.2.3","UDP","58","5727  >  42191 Len=16"
"75","3.875983010","10.0.1.1","10.0.2.3","UDP","58","32628  >  23100 Len=16"
"76","3.876908204","10.0.1.6","10.0.2.3","UDP","58","18839  >  6070 Len=16"
"77","3.877795287","10.0.1.2","10.0.2.3","UDP","58","47565  >  23545 Len=16"
"78","3.976043925","10.0.1.5","10.0.2.3","UDP","58","5727  >  42191 Len=16"
"79","4.008047658","10.0.1.1","10.0.2.3","UDP","58","32628  >  23100 Len=16"
"80","4.009389032","10.0.1.6","10.0.2.3","UDP","58","18839  >  6070 Len=16"
"81","4.010371786","10.0.1.2","10.0.2.3","UDP","58","47565  >  23545 Len=16"
"82","4.115914843","10.0.1.5","10.0.2.3","UDP","58","5727  >  42191 Len=16"
"83","4.143998914","10.0.1.1","10.0.2.3","UDP","58","32628  >  23100 Len=16"
"84","4.144897937","10.0.1.2","10.0.2.3","UDP","58","47565  >  23545 Len=16"
"85","4.146231678","10.0.1.6","10.0.2.3","UDP","58","18839  >  6070 Len=16"
"86","4.248021823","10.0.1.5","10.0.2.3","UDP","58","5727  >  42191 Len=16"
"87","4.279961957","10.0.1.6","10.0.2.3","UDP","58","18839  >  6070 Len=16"
"88","4.281454244","10.0.1.1","10.0.2.3","UDP","58","32628  >  23100 Len=16"
"89","4.282187668","10.0.1.2","10.0.2.3","UDP","58","47565  >  23545 Len=16"
"90","4.376265108","10.0.1.5","10.0.2.3","UDP","58","5727  >  42191 Len=16"
"91","4.416119613","10.0.1.6","10.0.2.3","UDP","58","18839  >  6070 Len=16"
"92","4.417113229","10.0.1.1","10.0.2.3","UDP","58","32628  >  23100 Len=16"
"93","4.417942575","10.0.1.2","10.0.2.3","UDP","58","47565  >  23545 Len=16"
"94","4.508093015","10.0.1.5","10.0.2.3","UDP","58","5727  >  42191 Len=16"
"95","4.547994526","10.0.1.6","10.0.2.3","UDP","58","18839  >  6070 Len=16"
"96","4.549380483","10.0.1.1","10.0.2.3","UDP","58","32628  >  23100 Len=16"
"97","4.550342762","10.0.1.2","10.0.2.3","UDP","58","47565  >  23545 Len=16"
"98","4.643975172","10.0.1.5","10.0.2.3","UDP","58","5727  >  42191 Len=16"
"99","4.680083598","10.0.1.2","10.0.2.3","UDP","58","47565  >  23545 Len=16"
"100","4.680424495","10.0.1.1","10.0.2.3","UDP","58","32628  >  23100 Len=16"
"101","4.681887331","10.0.1.6","10.0.2.3","UDP","58","18839  >  6070 Len=16"
"102","4.780049845","10.0.1.5","10.0.2.3","UDP","58","5727  >  42191 Len=16"
"103","4.808009342","10.0.1.2","10.0.2.3","UDP","58","47565  >  23545 Len=16"
"104","4.815890975","10.0.1.1","10.0.2.3","UDP","58","32628  >  23100 Len=16"
"105","4.816524549","10.0.1.6","10.0.2.3","UDP","58","18839  >  6070 Len=16"
"106","4.911994067","10.0.1.5","10.0.2.3","UDP","58","5727  >  42191 Len=16"
"107","4.935978959","10.0.1.2","10.0.2.3","UDP","58","47565  >  23545 Len=16"
"108","4.956112497","10.0.1.6","10.0.2.3","UDP","58","18839  >  6070 Len=16"
"109","4.958383400","10.0.1.1","10.0.2.3","UDP","58","32628  >  23100 Len=16"
"110","5.051987396","10.0.1.5","10.0.2.3","UDP","58","5727  >  42191 Len=16"
"111","5.063932476","10.0.1.2","10.0.2.3","UDP","58","47565  >  23545 Len=16"
"112","5.087951098","10.0.1.6","10.0.2.3","UDP","58","18839  >  6070 Len=16"
"113","5.088746265","10.0.1.1","10.0.2.3","UDP","58","32628  >  23100 Len=16"
"114","5.180149169","10.0.1.5","10.0.2.3","UDP","58","5727  >  42191 Len=16"
"115","5.196022364","10.0.1.2","10.0.2.3","UDP","58","47565  >  23545 Len=16"
"116","5.223958346","10.0.1.6","10.0.2.3","UDP","58","18839  >  6070 Len=16"
"117","5.224959048","10.0.1.1","10.0.2.3","UDP","58","32628  >  23100 Len=16"
"118","5.311975504","10.0.1.5","10.0.2.3","UDP","58","5727  >  42191 Len=16"
"119","5.327910100","10.0.1.2","10.0.2.3","UDP","58","47565  >  23545 Len=16"
"120","5.359994653","10.0.1.6","10.0.2.3","UDP","58","18839  >  6070 Len=16"
"121","5.360841391","10.0.1.1","10.0.2.3","UDP","58","32628  >  23100 Len=16"
"122","5.447913320","10.0.1.5","10.0.2.3","UDP","58","5727  >  42191 Len=16"
"123","5.464059602","10.0.1.2","10.0.2.3","UDP","58","47565  >  23545 Len=16"
"124","5.491968912","10.0.1.6","10.0.2.3","UDP","58","18839  >  6070 Len=16"
"125","5.492927551","10.0.1.1","10.0.2.3","UDP","58","32628  >  23100 Len=16"
"126","5.580299108","10.0.1.5","10.0.2.3","UDP","58","5727  >  42191 Len=16"
"127","5.595931042","10.0.1.2","10.0.2.3","UDP","58","47565  >  23545 Len=16"
"128","5.619974878","10.0.1.6","10.0.2.3","UDP","58","18839  >  6070 Len=16"
"129","5.620706678","10.0.1.1","10.0.2.3","UDP","58","32628  >  23100 Len=16"
"130","5.712016161","10.0.1.5","10.0.2.3","UDP","58","5727  >  42191 Len=16"
"131","5.723846309","10.0.1.2","10.0.2.3","UDP","58","47565  >  23545 Len=16"
"132","5.756094153","10.0.1.6","10.0.2.3","UDP","58","18839  >  6070 Len=16"
"133","5.757261831","10.0.1.1","10.0.2.3","UDP","58","32628  >  23100 Len=16"
"134","5.843990416","10.0.1.5","10.0.2.3","UDP","58","5727  >  42191 Len=16"
"135","5.852024447","10.0.1.2","10.0.2.3","UDP","58","47565  >  23545 Len=16"
"136","5.888013275","10.0.1.6","10.0.2.3","UDP","58","18839  >  6070 Len=16"
"137","5.888740906","10.0.1.1","10.0.2.3","UDP","58","32628  >  23100 Len=16"
"138","5.976085332","10.0.1.5","10.0.2.3","UDP","58","5727  >  42191 Len=16"
"139","5.987872188","10.0.1.2","10.0.2.3","UDP","58","47565  >  23545 Len=16"
"140","6.024016055","10.0.1.6","10.0.2.3","UDP","58","18839  >  6070 Len=16"
"141","6.024800607","10.0.1.1","10.0.2.3","UDP","58","32628  >  23100 Len=16"
"142","6.111915280","10.0.1.5","10.0.2.3","UDP","58","5727  >  42191 Len=16"
"143","6.119926045","10.0.1.2","10.0.2.3","UDP","58","47565  >  23545 Len=16"
"144","6.155996345","10.0.1.6","10.0.2.3","UDP","58","18839  >  6070 Len=16"
"145","6.156793846","10.0.1.1","10.0.2.3","UDP","58","32628  >  23100 Len=16"
"146","6.236020873","10.0.1.5","10.0.2.3","UDP","58","5727  >  42191 Len=16"
"147","6.251963978","10.0.1.2","10.0.2.3","UDP","58","47565  >  23545 Len=16"
"148","6.296073785","10.0.1.6","10.0.2.3","UDP","58","18839  >  6070 Len=16"
"149","6.296844562","10.0.1.1","10.0.2.3","UDP","58","32628  >  23100 Len=16"
"150","6.368103843","10.0.1.5","10.0.2.3","UDP","58","5727  >  42191 Len=16"
"151","6.379934989","10.0.1.2","10.0.2.3","UDP","58","47565  >  23545 Len=16"
"152","6.428105584","10.0.1.1","10.0.2.3","UDP","58","32628  >  23100 Len=16"
"153","6.429470089","10.0.1.6","10.0.2.3","UDP","58","18839  >  6070 Len=16"
"154","6.495889855","10.0.1.5","10.0.2.3","UDP","58","5727  >  42191 Len=16"
"155","6.508020452","10.0.1.2","10.0.2.3","UDP","58","47565  >  23545 Len=16"
"156","6.560011441","10.0.1.6","10.0.2.3","UDP","58","18839  >  6070 Len=16"
"157","6.560698565","10.0.1.1","10.0.2.3","UDP","58","32628  >  23100 Len=16"
