"No.","Time","Source","Destination","Protocol","Length","Info"
"284","9.479940806","10.0.1.6","10.0.2.3","UDP","58","42948  >  61371 Len=16"
"288","9.615923284","10.0.1.6","10.0.2.3","UDP","58","42948  >  61371 Len=16"
"293","9.749587756","10.0.1.6","10.0.2.3","UDP","58","42948  >  61371 Len=16"
"296","9.879952317","10.0.1.6","10.0.2.3","UDP","58","42948  >  61371 Len=16"
"301","10.020055160","10.0.1.6","10.0.2.3","UDP","58","42948  >  61371 Len=16"
"305","10.155866392","10.0.1.6","10.0.2.3","UDP","58","42948  >  61371 Len=16"
"309","10.287777052","10.0.1.6","10.0.2.3","UDP","58","42948  >  61371 Len=16"
"313","10.419878224","10.0.1.6","10.0.2.3","UDP","58","42948  >  61371 Len=16"
"317","10.551813227","10.0.1.6","10.0.2.3","UDP","58","42948  >  61371 Len=16"
"321","10.683798434","10.0.1.6","10.0.2.3","UDP","58","42948  >  61371 Len=16"
"325","10.815813638","10.0.1.6","10.0.2.3","UDP","58","42948  >  61371 Len=16"
"329","10.947820252","10.0.1.6","10.0.2.3","UDP","58","42948  >  61371 Len=16"
"333","11.079904768","10.0.1.6","10.0.2.3","UDP","58","42948  >  61371 Len=16"
"337","11.211848201","10.0.1.6","10.0.2.3","UDP","58","42948  >  61371 Len=16"
"341","11.347809528","10.0.1.6","10.0.2.3","UDP","58","42948  >  61371 Len=16"
"345","11.479792266","10.0.1.6","10.0.2.3","UDP","58","42948  >  61371 Len=16"
"349","11.611944658","10.0.1.6","10.0.2.3","UDP","58","42948  >  61371 Len=16"
"353","11.747983505","10.0.1.6","10.0.2.3","UDP","58","42948  >  61371 Len=16"
"357","11.879843888","10.0.1.6","10.0.2.3","UDP","58","42948  >  61371 Len=16"
"361","12.011757682","10.0.1.6","10.0.2.3","UDP","58","42948  >  61371 Len=16"
"365","12.147865468","10.0.1.6","10.0.2.3","UDP","58","42948  >  61371 Len=16"
"369","12.279886890","10.0.1.6","10.0.2.3","UDP","58","42948  >  61371 Len=16"
"373","12.415734511","10.0.1.6","10.0.2.3","UDP","58","42948  >  61371 Len=16"
"377","12.552054177","10.0.1.6","10.0.2.3","UDP","58","42948  >  61371 Len=16"
"381","12.687853745","10.0.1.6","10.0.2.3","UDP","58","42948  >  61371 Len=16"
"385","12.819745070","10.0.1.6","10.0.2.3","UDP","58","42948  >  61371 Len=16"
"389","12.955805091","10.0.1.6","10.0.2.3","UDP","58","42948  >  61371 Len=16"
"393","13.087777793","10.0.1.6","10.0.2.3","UDP","58","42948  >  61371 Len=16"
"397","13.219804937","10.0.1.6","10.0.2.3","UDP","58","42948  >  61371 Len=16"
"401","13.355804123","10.0.1.6","10.0.2.3","UDP","58","42948  >  61371 Len=16"
"405","13.487949465","10.0.1.6","10.0.2.3","UDP","58","42948  >  61371 Len=16"
"409","13.623783739","10.0.1.6","10.0.2.3","UDP","58","42948  >  61371 Len=16"
"413","13.763876367","10.0.1.6","10.0.2.3","UDP","58","42948  >  61371 Len=16"
"417","13.895931824","10.0.1.6","10.0.2.3","UDP","58","42948  >  61371 Len=16"
"421","14.027873002","10.0.1.6","10.0.2.3","UDP","58","42948  >  61371 Len=16"
"425","14.163951613","10.0.1.6","10.0.2.3","UDP","58","42948  >  61371 Len=16"
"429","14.295736619","10.0.1.6","10.0.2.3","UDP","58","42948  >  61371 Len=16"
"433","14.431756915","10.0.1.6","10.0.2.3","UDP","58","42948  >  61371 Len=16"
"437","14.567781857","10.0.1.6","10.0.2.3","UDP","58","42948  >  61371 Len=16"
"441","14.699780602","10.0.1.6","10.0.2.3","UDP","58","42948  >  61371 Len=16"
"445","14.831747629","10.0.1.6","10.0.2.3","UDP","58","42948  >  61371 Len=16"
"449","14.963826200","10.0.1.6","10.0.2.3","UDP","58","42948  >  61371 Len=16"
"453","15.095726488","10.0.1.6","10.0.2.3","UDP","58","42948  >  61371 Len=16"
"457","15.227773998","10.0.1.6","10.0.2.3","UDP","58","42948  >  61371 Len=16"
"461","15.363732916","10.0.1.6","10.0.2.3","UDP","58","42948  >  61371 Len=16"
"465","15.495722048","10.0.1.6","10.0.2.3","UDP","58","42948  >  61371 Len=16"
"469","15.627759447","10.0.1.6","10.0.2.3","UDP","58","42948  >  61371 Len=16"
"473","15.763749330","10.0.1.6","10.0.2.3","UDP","58","42948  >  61371 Len=16"
"477","15.895752983","10.0.1.6","10.0.2.3","UDP","58","42948  >  61371 Len=16"
"481","16.027831266","10.0.1.6","10.0.2.3","UDP","58","42948  >  61371 Len=16"
"485","16.163756591","10.0.1.6","10.0.2.3","UDP","58","42948  >  61371 Len=16"
"489","16.295760246","10.0.1.6","10.0.2.3","UDP","58","42948  >  61371 Len=16"
"493","16.427761941","10.0.1.6","10.0.2.3","UDP","58","42948  >  61371 Len=16"
"497","16.559825832","10.0.1.6","10.0.2.3","UDP","58","42948  >  61371 Len=16"
"501","16.691744667","10.0.1.6","10.0.2.3","UDP","58","42948  >  61371 Len=16"
"505","16.827748448","10.0.1.6","10.0.2.3","UDP","58","42948  >  61371 Len=16"
"507","16.959885494","10.0.1.6","10.0.2.3","UDP","58","42948  >  61371 Len=16"
"511","17.091885793","10.0.1.6","10.0.2.3","UDP","58","42948  >  61371 Len=16"
"515","17.223803750","10.0.1.6","10.0.2.3","UDP","58","42948  >  61371 Len=16"
"519","17.360016165","10.0.1.6","10.0.2.3","UDP","58","42948  >  61371 Len=16"
"522","17.492825056","10.0.1.6","10.0.2.3","UDP","58","42948  >  61371 Len=16"
"526","17.623994572","10.0.1.6","10.0.2.3","UDP","58","42948  >  61371 Len=16"
"530","17.759897761","10.0.1.6","10.0.2.3","UDP","58","42948  >  61371 Len=16"
"534","17.891886867","10.0.1.6","10.0.2.3","UDP","58","42948  >  61371 Len=16"
"539","18.025247613","10.0.1.6","10.0.2.3","UDP","58","42948  >  61371 Len=16"
"542","18.159958712","10.0.1.6","10.0.2.3","UDP","58","42948  >  61371 Len=16"
"547","18.292919423","10.0.1.6","10.0.2.3","UDP","58","42948  >  61371 Len=16"
"550","18.423803456","10.0.1.6","10.0.2.3","UDP","58","42948  >  61371 Len=16"
"555","18.560975886","10.0.1.6","10.0.2.3","UDP","58","42948  >  61371 Len=16"
"559","18.695791073","10.0.1.6","10.0.2.3","UDP","58","42948  >  61371 Len=16"
"563","18.827872394","10.0.1.6","10.0.2.3","UDP","58","42948  >  61371 Len=16"
"567","18.959821592","10.0.1.6","10.0.2.3","UDP","58","42948  >  61371 Len=16"
"571","19.091811396","10.0.1.6","10.0.2.3","UDP","58","42948  >  61371 Len=16"
"575","19.223754516","10.0.1.6","10.0.2.3","UDP","58","42948  >  61371 Len=16"
"579","19.359848107","10.0.1.6","10.0.2.3","UDP","58","42948  >  61371 Len=16"
"583","19.495833539","10.0.1.6","10.0.2.3","UDP","58","42948  >  61371 Len=16"
"587","19.627792445","10.0.1.6","10.0.2.3","UDP","58","42948  >  61371 Len=16"
"591","19.763796279","10.0.1.6","10.0.2.3","UDP","58","42948  >  61371 Len=16"
"595","19.895778196","10.0.1.6","10.0.2.3","UDP","58","42948  >  61371 Len=16"
"598","20.023867784","10.0.1.6","10.0.2.3","UDP","58","42948  >  61371 Len=16"
"602","20.155857984","10.0.1.6","10.0.2.3","UDP","58","42948  >  61371 Len=16"
"606","20.287812655","10.0.1.6","10.0.2.3","UDP","58","42948  >  61371 Len=16"
"611","20.429247839","10.0.1.6","10.0.2.3","UDP","58","42948  >  61371 Len=16"
"614","20.563991601","10.0.1.6","10.0.2.3","UDP","58","42948  >  61371 Len=16"
"618","20.695982924","10.0.1.6","10.0.2.3","UDP","58","42948  >  61371 Len=16"
"624","20.829707866","10.0.1.6","10.0.2.3","UDP","58","42948  >  61371 Len=16"
